ID,start,end,code,label/0/group,label/0/text,label/1/group,label/1/text,label/2/group,label/2/text,pos_x,pos_y
661,1763.71,1783.71,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Passes accurate,Half,1st half,67.0,5.4
662,1766.08,1786.08,25. Marin Pilj,Team,NK Osijek,Action,Passes accurate,Half,1st half,73.1,10.0
663,1769.22,1789.22,9. Ante Erceg,Team,NK Osijek,Action,Passes accurate,Half,1st half,74.5,7.6
664,1774.81,1794.81,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Passes accurate,Half,1st half,79.1,16.9
665,1776.43,1796.43,5. Laszlo Kleinheisler,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,87.6,39.1
666,1777.86,1797.86,2. Edis Malikji,Team,NK Lokomotiva,Action,Bad ball control,Half,1st half,8.4,20.8
667,1779.68,1799.68,39. Damjan Bohar,Team,NK Osijek,Action,Passes accurate,Half,1st half,96.6,50.6
668,1779.68,1799.68,39. Damjan Bohar,Team,NK Osijek,Action,Picking-ups,Half,1st half,96.6,50.6
669,1779.68,1799.68,39. Damjan Bohar,Team,NK Osijek,Action,Picking-ups (in opp. half),Half,1st half,96.6,50.6
670,1782.86,1802.86,5. Laszlo Kleinheisler,Team,NK Osijek,Action,Passes accurate,Half,1st half,96.1,45.7
671,1784.04,1804.04,39. Damjan Bohar,Team,NK Osijek,Action,Challenges (lost),Half,1st half,99.4,49.0
672,1784.04,1804.04,2. Edis Malikji,Team,NK Lokomotiva,Action,Challenges (won),Half,1st half,5.6,19
673,1784.04,1804.04,2. Edis Malikji,Team,NK Lokomotiva,Action,Tackles (Successful actions),Half,1st half,5.6,19
674,1784.04,1804.04,39. Damjan Bohar,Team,NK Osijek,Action,Dribbles (Unsuccessful actions),Half,1st half,99.4,49.0
675,1812.83,1832.83,20. Mario Jurcevic,Team,NK Osijek,Action,Passes accurate,Half,1st half,105.0,68.0
676,1814.78,1834.78,17. Indrit Tuci,Team,NK Lokomotiva,Action,Air challenges (lost),Half,1st half,11.7,41.2
677,1814.78,1834.78,22. Danijel Loncar,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,93.3,26.8
678,1814.78,1834.78,22. Danijel Loncar,Team,NK Osijek,Action,Air challenges (won),Half,1st half,93.3,26.8
679,1814.78,1834.78,22. Danijel Loncar,Team,NK Osijek,Action,Challenges (won),Half,1st half,93.3,26.8
680,1814.78,1834.78,17. Indrit Tuci,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,11.7,41.2
681,1815.53,1835.53,3. Stipo Markovic,Team,NK Lokomotiva,Action,Interceptions,Half,1st half,2.4,28.4
682,1846.47,1866.47,20. Mario Jurcevic,Team,NK Osijek,Action,Lost balls,Half,1st half,99.5,41.5
683,1846.47,1866.47,20. Mario Jurcevic,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,105.0,68.0
684,1848.15,1868.15,3. Stipo Markovic,Team,NK Lokomotiva,Action,Interceptions,Half,1st half,5.5,26.5
685,1848.83,1868.83,36. Marko Dira,Team,NK Lokomotiva,Action,Picking-ups,Half,1st half,14.9,28.8
686,1848.83,1868.83,36. Marko Dira,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,14.9,28.8
687,1850.92,1870.92,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,21.5,22.3
688,1853.18,1873.18,26. Fran Karacic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,37.1,25.7
689,1853.91,1873.91,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Lost balls (in opp. half),Half,1st half,45.4,15.1
690,1853.91,1873.91,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,45.4,15.1
691,1853.91,1873.91,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Lost balls,Half,1st half,45.4,15.1
692,1853.91,1873.91,20. Mario Jurcevic,Team,NK Osijek,Action,Challenges (won),Half,1st half,59.6,52.9
693,1855.6,1875.6,20. Mario Jurcevic,Team,NK Osijek,Action,Passes accurate,Half,1st half,47.7,54.2
694,1859.71,1879.71,1. Ivica Ivusic,Team,NK Osijek,Action,Passes accurate,Half,1st half,29.3,31.9
695,1931.61,1951.61,22. Danijel Loncar,Team,NK Osijek,Action,Passes accurate,Half,1st half,42.7,22.3
696,1934.68,1954.68,6. Ante Majstorovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,41.8,30.0
697,1939.97,1959.97,22. Danijel Loncar,Team,NK Osijek,Action,Passes accurate,Half,1st half,56.0,17.3
698,1946.52,1966.52,39. Damjan Bohar,Team,NK Osijek,Action,Passes accurate,Half,1st half,93.8,57.4
699,1949.07,1969.07,36. Marko Dira,Team,NK Lokomotiva,Action,Tackles (Unsuccessful actions),Half,1st half,19.7,25
700,1949.07,1969.07,25. Marin Pilj,Team,NK Osijek,Action,Dribbles (Successful actions),Half,1st half,85.3,43.0
701,1949.07,1969.07,36. Marko Dira,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,19.7,25
702,1951.2,1971.2,12. Krunoslav Hendija,Team,NK Lokomotiva,Action,Supersaves,Half,1st half,14,23.9
703,1951.2,1971.2,25. Marin Pilj,Team,NK Osijek,Action,Shots,Half,1st half,91.0,44.1
704,1951.2,1971.2,12. Krunoslav Hendija,Team,NK Lokomotiva,Action,Shot on target (saved),Half,1st half,14,23.9
705,1951.2,1971.2,25. Marin Pilj,Team,NK Osijek,Action,Shot on target,Half,1st half,91.0,44.1
706,1956.33,1976.33,12. Krunoslav Hendija,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,15.1,32.6
707,1959.57,1979.57,26. Fran Karacic,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,60.9,7.7
708,1959.57,1979.57,20. Mario Jurcevic,Team,NK Osijek,Action,Air challenges (won),Half,1st half,44.1,60.3
709,1959.57,1979.57,26. Fran Karacic,Team,NK Lokomotiva,Action,Lost balls,Half,1st half,60.9,7.7
710,1959.57,1979.57,20. Mario Jurcevic,Team,NK Osijek,Action,Challenges (won),Half,1st half,44.1,60.3
711,1959.57,1979.57,26. Fran Karacic,Team,NK Lokomotiva,Action,Air challenges (lost),Half,1st half,60.9,7.7
712,1976.86,1996.86,20. Mario Jurcevic,Team,NK Osijek,Action,Passes accurate,Half,1st half,23.7,67.8
713,1979,1999,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Passes accurate,Half,1st half,37.0,64.5
714,1981.09,2001.09,7. Vedran Jugovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,39.2,46.9
715,1988.92,2008.92,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,28.1,1.9
716,1988.92,2008.92,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Lost balls,Half,1st half,71.2,1.9
717,1992.06,2012.06,3. Stipo Markovic,Team,NK Lokomotiva,Action,Lost balls,Half,1st half,55.8,68.0
718,1992.06,2012.06,3. Stipo Markovic,Team,NK Lokomotiva,Action,Picking-ups,Half,1st half,33.8,66.1
719,1992.06,2012.06,3. Stipo Markovic,Team,NK Lokomotiva,Action,Passes (inaccurate),Half,1st half,33.8,66.1
720,2005.31,2025.31,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Passes accurate,Half,1st half,47.6,0.0
721,2006.14,2026.14,9. Ante Erceg,Team,NK Osijek,Action,Passes accurate,Half,1st half,60.4,3.2
722,2007,2027,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,47.9,1.8
723,2008.92,2028.92,17. Indrit Tuci,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,45.1,63.5
724,2008.92,2028.92,17. Indrit Tuci,Team,NK Lokomotiva,Action,Picking-ups,Half,1st half,45.1,63.5
725,2009.7,2029.7,3. Stipo Markovic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,39.9,65.1
726,2011.72,2031.72,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,64.6,61.9
727,2011.72,2031.72,22. Danijel Loncar,Team,NK Osijek,Action,Challenges (won),Half,1st half,40.4,6.1
728,2012.81,2032.81,7. Vedran Jugovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,48.4,10.3
729,2012.81,2032.81,7. Vedran Jugovic,Team,NK Osijek,Action,Picking-ups,Half,1st half,48.4,10.3
730,2015.94,2035.94,6. Ante Majstorovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,30.9,29.8
731,2020.54,2040.54,20. Mario Jurcevic,Team,NK Osijek,Action,Passes accurate,Half,1st half,38.2,52.5
732,2023.27,2043.27,6. Ante Majstorovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,38.2,43.1
733,2025.22,2045.22,22. Danijel Loncar,Team,NK Osijek,Action,Passes accurate,Half,1st half,31.8,27.0
734,2032.08,2052.08,6. Ante Majstorovic,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,54.7,41.9
735,2032.08,2052.08,6. Ante Majstorovic,Team,NK Osijek,Action,Lost balls,Half,1st half,95.3,42.0
736,2036.46,2056.46,12. Krunoslav Hendija,Team,NK Lokomotiva,Action,Picking-ups,Half,1st half,9.7,26.0
737,2039.98,2059.98,12. Krunoslav Hendija,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,12.1,30.4
738,2044.53,2064.53,6. Dominik Kovacic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,27.2,57.5
739,2046.91,2066.91,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,62.8,60.2
740,2049.13,2069.13,11. Ivan Celikovic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,60.4,55.1
741,2057.64,2077.64,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Lost balls,Half,1st half,100.3,49.7
742,2057.64,2077.64,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Passes (inaccurate),Half,1st half,99.8,51.3
743,2057.8,2077.8,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Interceptions,Half,1st half,4.7,18.3
744,2097.12,2117.12,1. Ivica Ivusic,Team,NK Osijek,Action,Passes accurate,Half,1st half,5.6,37.0
745,2100.77,2120.77,7. Vedran Jugovic,Team,NK Osijek,Action,Air challenges (lost),Half,1st half,44.8,45.7
746,2100.77,2120.77,17. Indrit Tuci,Team,NK Lokomotiva,Action,Challenges (won),Half,1st half,60.2,22.3
747,2100.77,2120.77,17. Indrit Tuci,Team,NK Lokomotiva,Action,Passes (inaccurate),Half,1st half,60.2,22.3
748,2100.77,2120.77,7. Vedran Jugovic,Team,NK Osijek,Action,Challenges (lost),Half,1st half,44.8,45.7
749,2100.77,2120.77,17. Indrit Tuci,Team,NK Lokomotiva,Action,Air challenges (won),Half,1st half,60.2,22.3
750,2101.93,2121.93,25. Marin Pilj,Team,NK Osijek,Action,Picking-ups (in opp. half),Half,1st half,56.2,40.9
751,2101.93,2121.93,25. Marin Pilj,Team,NK Osijek,Action,Picking-ups,Half,1st half,56.2,40.9
752,2101.93,2121.93,25. Marin Pilj,Team,NK Osijek,Action,Passes accurate,Half,1st half,56.2,40.9
753,2104.21,2124.21,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Passes accurate,Half,1st half,64.2,49.0
754,2109.97,2129.97,39. Damjan Bohar,Team,NK Osijek,Action,Passes accurate,Half,1st half,78.5,55.5
755,2112.52,2132.52,5. Laszlo Kleinheisler,Team,NK Osijek,Action,Passes accurate,Half,1st half,78.1,40.5
756,2114.63,2134.63,25. Marin Pilj,Team,NK Osijek,Action,Passes accurate,Half,1st half,75.1,27.2
757,2121.61,2141.61,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Passes accurate,Half,1st half,70.5,3.9
758,2126.15,2146.15,9. Ante Erceg,Team,NK Osijek,Action,Passes accurate,Half,1st half,71.9,10.8
759,2129.16,2149.16,6. Ante Majstorovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,44.3,42.8
760,2132.62,2152.62,20. Mario Jurcevic,Team,NK Osijek,Action,Passes accurate,Half,1st half,59.0,56.4
761,2135.74,2155.74,7. Vedran Jugovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,51.3,43.4
762,2137.84,2157.84,22. Danijel Loncar,Team,NK Osijek,Action,Passes accurate,Half,1st half,45.3,10.8
763,2140.17,2160.17,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Passes accurate,Half,1st half,56.1,2.1
764,2141.22,2161.22,9. Ante Erceg,Team,NK Osijek,Action,Challenges (lost),Half,1st half,68.3,4.7
765,2141.22,2161.22,3. Stipo Markovic,Team,NK Lokomotiva,Action,Challenges (won),Half,1st half,36.7,63.3
766,2167.19,2187.19,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Passes accurate,Half,1st half,51.1,0.0
767,2170.78,2190.78,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Lost balls,Half,1st half,62.8,24.1
768,2170.78,2190.78,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Challenges (lost),Half,1st half,62.8,24.1
769,2170.78,2190.78,6. Dominik Kovacic,Team,NK Lokomotiva,Action,Challenges (won),Half,1st half,42.2,43.9
770,2172.09,2192.09,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Challenges (lost),Half,1st half,68.3,23.7
771,2172.09,2192.09,36. Marko Dira,Team,NK Lokomotiva,Action,Challenges (won),Half,1st half,36.7,44.3
772,2172.95,2192.95,36. Marko Dira,Team,NK Lokomotiva,Action,Dribbles (Successful actions),Half,1st half,37.2,50.3
773,2172.95,2192.95,9. Ante Erceg,Team,NK Osijek,Action,Tackles (Unsuccessful actions),Half,1st half,67.8,17.7
774,2172.95,2192.95,9. Ante Erceg,Team,NK Osijek,Action,Challenges (lost),Half,1st half,67.8,17.7
775,2175.34,2195.34,36. Marko Dira,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,35.2,61.4
776,2176.5,2196.5,11. Ivan Celikovic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,43.2,66.9
777,2178.89,2198.89,36. Marko Dira,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,36.2,63.2
778,2179.63,2199.63,8. Oliver Petrak,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,38.6,58.4
779,2181.8,2201.8,36. Marko Dira,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,38.0,63.9
780,2182.7,2202.7,3. Stipo Markovic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,35.2,66.7
781,2184.59,2204.59,6. Dominik Kovacic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,17.2,56.7
782,2188.01,2208.01,12. Krunoslav Hendija,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,5.4,37.7
783,2193.21,2213.21,25. Kemal Osmankovic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,23.3,18.9
784,2197.63,2217.63,8. Oliver Petrak,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,34.9,18.9
785,2201.19,2221.19,2. Edis Malikji,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,43.6,7.4
786,2203.55,2223.55,8. Oliver Petrak,Team,NK Lokomotiva,Action,Lost balls (in opp. half),Half,1st half,40.4,15.3
787,2203.55,2223.55,8. Oliver Petrak,Team,NK Lokomotiva,Action,Lost balls,Half,1st half,40.4,15.3
788,2205.64,2225.64,8. Oliver Petrak,Team,NK Lokomotiva,Action,Fouls,Half,1st half,36.1,18.8
789,2244.26,2264.26,7. Vedran Jugovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,63.6,46.6
790,2247.16,2267.16,5. Laszlo Kleinheisler,Team,NK Osijek,Action,Passes accurate,Half,1st half,74.3,49.9
791,2249.22,2269.22,7. Vedran Jugovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,56.2,53.1
792,2256.16,2276.16,6. Ante Majstorovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,53.2,52.9
793,2257.68,2277.68,20. Mario Jurcevic,Team,NK Osijek,Action,Passes accurate,Half,1st half,63.0,62.8
794,2262.07,2282.07,5. Laszlo Kleinheisler,Team,NK Osijek,Action,Passes accurate,Half,1st half,74.6,61.0
